arch=plain dataset=fashion width=32 mode=ptq depth=8 seed=4 fp=0.8254 dyn=1:0.1061,2:0.1330,3:0.3818,4:0.4664,5:0.5543,6:0.6733,8:0.7782 cal=1:0.1127,2:0.1363,3:0.4083,4:0.4903,5:0.5432,6:0.6658,8:0.7763 eta_q=1:0.5519,2:0.3859,3:0.2249,4:0.1486,5:0.1022,6:0.0713,8:0.0354
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=1 fp=0.7943 dyn=1:0.1073,2:0.1073,3:0.2179,4:0.4212,5:0.5502,6:0.5589,8:0.7266 cal=1:0.1000,2:0.1248,3:0.2142,4:0.4246,5:0.5547,6:0.5542,8:0.7268 eta_q=1:0.5627,2:0.3866,3:0.2188,4:0.1413,5:0.0975,6:0.0679,8:0.0337
arch=plain dataset=fashion width=32 mode=ptq depth=8 seed=5 fp=0.8240 dyn=1:0.1001,2:0.1302,3:0.3284,4:0.5080,5:0.6914,6:0.7416,8:0.8054 cal=1:0.0999,2:0.1093,3:0.3229,4:0.5149,5:0.6916,6:0.7401,8:0.8060 eta_q=1:0.5513,2:0.3824,3:0.2238,4:0.1493,5:0.1018,6:0.0711,8:0.0351
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=3 fp=0.7576 dyn=1:0.0892,2:0.1127,3:0.2229,4:0.4547,5:0.6019,6:0.7008,8:0.7502 cal=1:0.1007,2:0.1242,3:0.2272,4:0.4633,5:0.5975,6:0.7002,8:0.7469 eta_q=1:0.5535,2:0.3830,3:0.2195,4:0.1434,5:0.0983,6:0.0685,8:0.0339
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=2 fp=0.8054 dyn=1:0.1151,2:0.1455,3:0.1679,4:0.3402,5:0.5336,6:0.6370,8:0.7756 cal=1:0.0999,2:0.1227,3:0.1949,4:0.3736,5:0.5276,6:0.6411,8:0.7729 eta_q=1:0.5576,2:0.3810,3:0.2201,4:0.1452,5:0.0994,6:0.0696,8:0.0344
arch=plain dataset=fashion width=32 mode=ptq depth=8 seed=7 fp=0.8165 dyn=1:0.1662,2:0.1074,3:0.4048,4:0.5268,5:0.7131,6:0.7730,8:0.8030 cal=1:0.1023,2:0.0906,3:0.4114,4:0.5312,5:0.7185,6:0.7717,8:0.8036 eta_q=1:0.5524,2:0.3822,3:0.2193,4:0.1446,5:0.0992,6:0.0699,8:0.0344
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=4 fp=0.7750 dyn=1:0.1081,2:0.1217,3:0.2102,4:0.2432,5:0.4377,6:0.5132,8:0.7649 cal=1:0.1000,2:0.1357,3:0.2344,4:0.2421,5:0.4360,6:0.5188,8:0.7560 eta_q=1:0.5560,2:0.3833,3:0.2208,4:0.1424,5:0.0976,6:0.0679,8:0.0338
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=0 fp=0.8017 dyn=1:0.1258,2:0.0970,3:0.1806,4:0.2735,5:0.4298,6:0.5488,8:0.6854 cal=1:0.1000,2:0.1033,3:0.1858,4:0.2657,5:0.4392,6:0.5492,8:0.6856 eta_q=1:0.5561,2:0.3800,3:0.2216,4:0.1461,5:0.1004,6:0.0703,8:0.0347
arch=plain dataset=fashion width=32 mode=ptq depth=8 seed=8 fp=0.8004 dyn=1:0.1011,2:0.1439,3:0.3698,4:0.5141,5:0.6870,6:0.7272,8:0.7892 cal=1:0.1024,2:0.1315,3:0.4159,4:0.5070,5:0.6774,6:0.7266,8:0.7895 eta_q=1:0.5428,2:0.3761,3:0.2218,4:0.1465,5:0.1005,6:0.0709,8:0.0349
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=5 fp=0.7938 dyn=1:0.1207,2:0.0851,3:0.1642,4:0.3407,5:0.3485,6:0.6152,8:0.7386 cal=1:0.1000,2:0.1080,3:0.1683,4:0.2956,5:0.3544,6:0.6196,8:0.7404 eta_q=1:0.5593,2:0.3821,3:0.2199,4:0.1449,5:0.0998,6:0.0697,8:0.0346
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=9 fp=0.7945 dyn=1:0.1060,2:0.0876,3:0.2081,4:0.3445,5:0.5010,6:0.6144,8:0.7581 cal=1:0.1000,2:0.1172,3:0.2345,4:0.3799,5:0.4967,6:0.6183,8:0.7564 eta_q=1:0.5484,2:0.3770,3:0.2196,4:0.1458,5:0.0999,6:0.0697,8:0.0347
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=6 fp=0.8051 dyn=1:0.0996,2:0.0926,3:0.1738,4:0.3764,5:0.5933,6:0.7172,8:0.7681 cal=1:0.1000,2:0.1011,3:0.1777,4:0.3801,5:0.5810,6:0.7131,8:0.7703 eta_q=1:0.5562,2:0.3809,3:0.2213,4:0.1466,5:0.1009,6:0.0702,8:0.0350
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=0 fp=0.7795 dyn=1:0.1065,2:0.1173,3:0.1112,4:0.2139,5:0.2965,6:0.5050,8:0.7445 cal=1:0.1000,2:0.1280,3:0.1031,4:0.2164,5:0.2832,6:0.4824,8:0.7387 eta_q=1:0.5560,2:0.3816,3:0.2205,4:0.1451,5:0.1000,6:0.0694,8:0.0344
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=1 fp=0.7390 dyn=1:0.0943,2:0.0985,3:0.1461,4:0.2426,5:0.4988,6:0.5893,8:0.7126 cal=1:0.1000,2:0.1145,3:0.1520,4:0.2392,5:0.5305,6:0.5860,8:0.7145 eta_q=1:0.5658,2:0.3913,3:0.2214,4:0.1413,5:0.0969,6:0.0677,8:0.0335
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=5 fp=0.7703 dyn=1:0.0937,2:0.0931,3:0.1268,4:0.2423,5:0.4353,6:0.5314,8:0.7337 cal=1:0.1000,2:0.1103,3:0.0977,4:0.2419,5:0.4414,6:0.4928,8:0.7326 eta_q=1:0.5549,2:0.3806,3:0.2178,4:0.1429,5:0.0982,6:0.0687,8:0.0340
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=8 fp=0.7738 dyn=1:0.1000,2:0.0914,3:0.1341,4:0.2290,5:0.3406,6:0.4149,8:0.6794 cal=1:0.1000,2:0.1322,3:0.1420,4:0.2452,5:0.3422,6:0.4169,8:0.6788 eta_q=1:0.5573,2:0.3826,3:0.2171,4:0.1412,5:0.0970,6:0.0679,8:0.0335
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=0 fp=0.8162 dyn=1:0.2467,2:0.4494,3:0.6383,4:0.7356,5:0.7720,6:0.7953,8:0.7959 cal=1:0.1964,2:0.4463,3:0.6433,4:0.7369,5:0.7694,6:0.7951,8:0.7961 eta_q=1:0.5392,2:0.3765,3:0.2219,4:0.1481,5:0.1018,6:0.0707,8:0.0351
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=1 fp=0.8331 dyn=1:0.3051,2:0.5249,3:0.6975,4:0.7303,5:0.8006,6:0.8228,8:0.8309 cal=1:0.2347,2:0.5212,3:0.6944,4:0.7302,5:0.8030,6:0.8207,8:0.8300 eta_q=1:0.5443,2:0.3771,3:0.2205,4:0.1457,5:0.0999,6:0.0702,8:0.0346
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=8 fp=0.7636 dyn=1:0.1000,2:0.1078,3:0.2401,4:0.3402,5:0.5127,6:0.5956,8:0.7306 cal=1:0.1000,2:0.1221,3:0.2716,4:0.3527,5:0.4904,6:0.6033,8:0.7294 eta_q=1:0.5561,2:0.3852,3:0.2176,4:0.1411,5:0.0962,6:0.0674,8:0.0334
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=4 fp=0.8382 dyn=1:0.3885,2:0.4388,3:0.6530,4:0.7602,5:0.8027,6:0.8265,8:0.8290 cal=1:0.2939,2:0.4407,3:0.6538,4:0.7606,5:0.8007,6:0.8247,8:0.8292 eta_q=1:0.5532,2:0.3787,3:0.2188,4:0.1449,5:0.1003,6:0.0693,8:0.0346
arch=plain dataset=fashion width=32 mode=ptq depth=16 seed=7 fp=0.8046 dyn=1:0.1001,2:0.1444,3:0.1893,4:0.3623,5:0.4158,6:0.6298,8:0.7538 cal=1:0.1000,2:0.1172,3:0.1989,4:0.4018,5:0.4030,6:0.6413,8:0.7534 eta_q=1:0.5473,2:0.3745,3:0.2195,4:0.1451,5:0.1001,6:0.0700,8:0.0346
